,hour,minute,second,azimuth,elevation,power
2016-11-23 15:59:26,0.7894736842105263,1.0,0.4406779661016949,0.3,0.8333333333333334,
2016-11-23 15:59:31,0.7894736842105263,1.0,0.5254237288135594,0.3,1.0,
2016-11-23 15:59:36,0.7894736842105263,1.0,0.6101694915254238,0.4,0.0,
2016-11-23 15:59:41,0.7894736842105263,1.0,0.6949152542372882,0.4,0.16666666666666666,
2016-11-23 15:59:46,0.7894736842105263,1.0,0.7796610169491526,0.4,0.3333333333333333,
2016-11-23 15:59:51,0.7894736842105263,1.0,0.864406779661017,0.4,0.5,
2016-11-23 15:59:56,0.7894736842105263,1.0,0.9491525423728814,0.4,0.6666666666666666,
2016-11-23 16:00:01,0.8421052631578947,0.0,0.01694915254237288,0.4,0.8333333333333334,
2016-11-23 16:00:06,0.8421052631578947,0.0,0.1016949152542373,0.4,1.0,
2016-11-23 16:00:11,0.8421052631578947,0.0,0.1864406779661017,0.5,0.0,
2016-11-23 16:00:16,0.8421052631578947,0.0,0.2711864406779661,0.5,0.16666666666666666,
2016-11-23 16:00:21,0.8421052631578947,0.0,0.3559322033898305,0.5,0.3333333333333333,
2016-11-23 16:00:26,0.8421052631578947,0.0,0.4406779661016949,0.5,0.5,
2016-11-23 16:00:31,0.8421052631578947,0.0,0.5254237288135594,0.5,0.6666666666666666,
2016-11-23 16:00:36,0.8421052631578947,0.0,0.6101694915254238,0.5,0.8333333333333334,
2016-11-23 16:00:41,0.8421052631578947,0.0,0.6949152542372882,0.5,1.0,
2016-11-23 16:00:46,0.8421052631578947,0.0,0.7796610169491526,0.6,0.0,
2016-11-23 16:00:51,0.8421052631578947,0.0,0.864406779661017,0.6,0.16666666666666666,
2016-11-23 16:00:56,0.8421052631578947,0.0,0.9491525423728814,0.6,0.3333333333333333,
2016-11-23 16:01:01,0.8421052631578947,0.01694915254237288,0.01694915254237288,0.6,0.5,
2016-11-23 16:01:06,0.8421052631578947,0.01694915254237288,0.1016949152542373,0.6,0.6666666666666666,
2016-11-23 16:01:11,0.8421052631578947,0.01694915254237288,0.1864406779661017,0.6,0.8333333333333334,
2016-11-23 16:01:16,0.8421052631578947,0.01694915254237288,0.2711864406779661,0.6,1.0,
2016-11-23 16:01:21,0.8421052631578947,0.01694915254237288,0.3559322033898305,0.7,0.0,
2016-11-23 16:01:26,0.8421052631578947,0.01694915254237288,0.4406779661016949,0.7,0.16666666666666666,
2016-11-23 16:01:31,0.8421052631578947,0.01694915254237288,0.5254237288135594,0.7,0.3333333333333333,
2016-11-23 16:01:36,0.8421052631578947,0.01694915254237288,0.6101694915254238,0.7,0.5,
