hour, minute, second, azimuth angle (relative to west=0)/degree, elevation angle/degree, power/mW
11,27,27,72,90,269
11,27,30,90,0,358
11,27,35,90,15,367
11,27,38,90,30,372
11,27,41,90,45,361
11,27,44,90,60,354
11,27,47,90,75,339
11,27,50,90,90,294
11,27,53,108,0,362
11,27,57,108,15,362
11,28,0,108,30,360
11,28,3,108,45,356
11,28,6,108,60,347
11,28,9,108,75,313
11,28,12,108,90,244
11,28,15,126,0,291
11,28,20,126,15,312
11,28,23,126,30,319
11,28,26,126,45,302
11,28,29,126,60,274
11,28,32,126,75,243
11,28,35,126,90,202
11,28,38,144,0,156
11,28,43,144,15,173
11,28,46,144,30,203
11,28,49,144,45,228
11,28,52,144,60,244
11,28,55,144,75,243
11,28,58,144,90,233
11,29,1,162,0,166
11,29,6,162,15,157
11,29,9,162,30,164
11,29,12,162,45,175
11,29,15,162,60,181
11,29,18,162,75,185
11,29,21,162,90,189
11,29,24,180,0,129
11,29,29,180,15,118
11,29,32,180,30,108
11,29,35,180,45,104
11,29,38,180,60,133
11,29,41,180,75,178
11,29,44,180,90,225
11,34,59,0,0,236
11,35,3,0,15,249
11,35,6,0,30,252
11,35,9,0,45,243
11,35,12,0,60,234
11,35,15,0,75,228
11,35,18,0,90,227
11,35,21,18,0,299
11,35,26,18,15,273
11,35,29,18,30,266
11,35,32,18,45,273
11,35,35,18,60,296
11,35,38,18,75,284
11,35,41,18,90,234
11,35,44,36,0,336
11,35,49,36,15,356
11,35,52,36,30,369
11,35,55,36,45,370
11,35,58,36,60,364
11,36,1,36,75,350
11,36,4,36,90,303
11,36,7,54,0,372
11,36,12,54,15,375
11,36,15,54,30,374
11,36,18,54,45,374
11,36,21,54,60,363
11,36,24,54,75,346
11,36,27,54,90,295
11,36,30,72,0,369
11,36,35,72,15,375
11,36,38,72,30,373
11,36,41,72,45,373
11,36,44,72,60,368
11,36,47,72,75,347
11,36,50,72,90,283
11,36,53,90,0,355
11,36,58,90,15,352
11,37,1,90,30,350
11,37,4,90,45,344
11,37,7,90,60,337
11,37,10,90,75,326
11,37,13,90,90,291
11,37,16,108,0,359
11,37,20,108,15,363
11,37,23,108,30,362
11,37,26,108,45,363
11,37,29,108,60,353
11,37,32,108,75,333
11,37,35,108,90,280
11,37,38,126,0,327
11,37,43,126,15,341
11,37,46,126,30,348
11,37,49,126,45,345
11,37,52,126,60,339
11,37,55,126,75,321
11,37,58,126,90,271
11,38,1,144,0,221
11,38,6,144,15,236
11,38,9,144,30,255
11,38,12,144,45,244
11,38,15,144,60,233
11,38,18,144,75,251
11,38,21,144,90,253
11,38,24,162,0,150
11,38,29,162,15,138
11,38,32,162,30,148
11,38,35,162,45,166
11,38,38,162,60,180
11,38,41,162,75,192
11,38,44,162,90,214
11,38,47,180,0,153
11,38,52,180,15,130
11,38,55,180,30,109
11,38,58,180,45,106
11,39,1,180,60,136
11,39,4,180,75,173
11,39,7,180,90,223
11,44,22,0,0,274
11,44,26,0,15,300
11,44,29,0,30,321
11,44,32,0,45,328
11,44,35,0,60,323
11,44,38,0,75,311
11,44,41,0,90,277
11,44,44,18,0,346
11,44,49,18,15,356
11,44,52,18,30,357
11,44,55,18,45,357
11,44,58,18,60,349
11,45,1,18,75,328
11,45,4,18,90,272
11,45,7,36,0,347
11,45,12,36,15,334
11,45,15,36,30,322
11,45,18,36,45,313
11,45,21,36,60,316
11,45,24,36,75,309
11,45,27,36,90,265
11,45,30,54,0,362
11,45,35,54,15,362
11,45,38,54,30,363
11,45,41,54,45,356
11,45,44,54,60,352
11,45,47,54,75,319
11,45,50,54,90,253
11,45,53,72,0,361
11,45,58,72,15,366
11,46,1,72,30,368
11,46,4,72,45,366
11,46,7,72,60,358
11,46,10,72,75,339
11,46,13,72,90,281
11,46,16,90,0,367
11,46,21,90,15,366
11,46,24,90,30,366
11,46,27,90,45,364
11,46,30,90,60,357
11,46,33,90,75,332
11,46,36,90,90,261
11,46,39,108,0,351
11,46,43,108,15,359
11,46,46,108,30,357
11,46,49,108,45,353
11,46,52,108,60,345
11,46,55,108,75,314
11,46,58,108,90,244
11,47,1,126,0,318
11,47,6,126,15,335
11,47,9,126,30,342
11,47,12,126,45,340
11,47,15,126,60,333
11,47,18,126,75,305
